x Value, Relative Error
-0.186,0.120944858478037
-0.184,0.128811513586433
-0.182,0.136609953907457
-0.18,0.144339630632434
-0.178,0.152000000950597
-0.176,0.15959052804909
-0.174,0.167110681112962
-0.172,0.174559935325175
-0.17,0.181937771866599
-0.168,0.189243677916011
-0.166,0.196477146650099
-0.164,0.20363767724346
-0.162,0.2107247748686
-0.16,0.217737950695932
-0.158,0.224676721893782
-0.156,0.23154061162838
-0.154,0.238329149063869
-0.152,0.2450418693623
-0.15,0.251678313683632
-0.148,0.258238029185734
-0.146,0.264720569024384
-0.144,0.271125492353268
-0.142,0.277452364323983
-0.14,0.283700756086034
-0.138,0.289870244786833
-0.136,0.295960413571704
-0.134,0.301970851583879
-0.132,0.3079011539645
-0.13,0.313750921852614
-0.128,0.319519762385183
-0.126,0.325207288697073
-0.124,0.330813119921062
-0.122,0.336336881187836
-0.12,0.341778203625989
-0.118,0.347136724362027
-0.116,0.352412086520362
-0.114,0.357603939223316
-0.112,0.36271193759112
-0.11,0.367735742741915
-0.108,0.372675021791749
-0.106,0.377529447854582
-0.104,0.38229870004228
-0.102,0.386982463464619
-0.1,0.391580429229285
-0.098,0.396092294441872
-0.096,0.400517762205884
-0.094,0.404856541622732
-0.092,0.409108347791739
-0.09,0.413272901810135
-0.088,0.417349930773058
-0.086,0.421339167773559
-0.084,0.425240351902593
-0.082,0.429053228249027
-0.08,0.432777547899638
-0.078,0.43641306793911
-0.076,0.439959551450036
-0.074,0.443416767512918
-0.072,0.446784491206169
-0.07,0.450062503606109
-0.068,0.453250591786968
-0.066,0.456348548820884
-0.064,0.459356173777906
-0.062,0.462273271725989
-0.06,0.465099653731001
-0.058,0.467835136856714
-0.056,0.470479544164814
-0.054,0.473032704714894
-0.052,0.475494453564454
-0.05,0.477864631768906
-0.048,0.480143086381569
-0.046,0.482329670453674
-0.044,0.484424243034357
-0.042,0.486426669170666
-0.04,0.488336819907557
-0.038,0.490154572287894
-0.036,0.491879809352452
-0.034,0.493512420139913
-0.032,0.495052299686871
-0.03,0.496499349027825
-0.028,0.497853475195187
-0.026,0.499114591219275
-0.024,0.500282616128317
-0.022,0.501357474948451
-0.02,0.502339098703723
-0.018,0.503227424416088
-0.016,0.504022395105411
-0.014,0.504723959789464
-0.012,0.505332073483931
-0.01,0.505846697202401
-0.008,0.506267797956377
-0.006,0.506595348755267
-0.004,0.506829328606389
-0.002,0.506969722514972
0,0.507016521484151
0.002,0.506969722514972
0.004,0.506829328606389
0.006,0.506595348755267
0.008,0.506267797956377
0.01,0.505846697202401
0.012,0.505332073483931
0.014,0.504723959789464
0.016,0.504022395105411
0.018,0.503227424416088
0.02,0.502339098703723
0.022,0.501357474948451
0.024,0.500282616128317
0.026,0.499114591219275
0.028,0.497853475195187
0.03,0.496499349027825
0.032,0.495052299686871
0.034,0.493512420139913
0.036,0.491879809352452
0.038,0.490154572287894
0.04,0.488336819907557
0.042,0.486426669170666
0.044,0.484424243034357
0.046,0.482329670453674
0.048,0.480143086381569
0.05,0.477864631768906
0.052,0.475494453564454
0.054,0.473032704714894
0.056,0.470479544164814
0.058,0.467835136856714
0.06,0.465099653731001
0.062,0.462273271725989
0.064,0.459356173777906
0.066,0.456348548820884
0.068,0.453250591786968
0.07,0.450062503606109
0.072,0.446784491206169
0.074,0.443416767512918
0.076,0.439959551450036
